"class","term","property","parent term","depth","term kind","field tier","abstract","description","rdfs:comment","json path","reached via paths"
"Inference","sample.aggregateElement.sampleType.url","url","sample.aggregateElement.sampleType","4","validation property","","","URL of the item.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.aggregateElement.oneOf[0].properties.sampleType.anyOf[2].items.properties.url","8"
"Inference","sample.aggregateElement.sampleType.termCode","termCode","sample.aggregateElement.sampleType","4","validation property","","","A code that identifies this DefinedTerm within a DefinedTermSet.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.aggregateElement.oneOf[0].properties.sampleType.anyOf[2].items.properties.termCode","8"
"Inference","sample.aggregateElement.sampleType.description","description","sample.aggregateElement.sampleType","4","validation property","","","A description of the item.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.aggregateElement.oneOf[0].properties.sampleType.anyOf[2].items.properties.description","8"
"Inference","sample.aggregateElement.sampleType.inDefinedTermSet","inDefinedTermSet","sample.aggregateElement.sampleType","4","validation property","","","A DefinedTermSet that contains this term.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.aggregateElement.oneOf[0].properties.sampleType.anyOf[2].items.properties.inDefinedTermSet","8"
"Inference","sample.aggregateElement.sampleType.originalName","originalName","sample.aggregateElement.sampleType","4","validation property","","","The original name of the item, before any metadata standardization/normalization","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.aggregateElement.oneOf[0].properties.sampleType.anyOf[2].items.properties.originalName","8"
"Inference","sample.aggregateElement.sampleType.isCurated","isCurated","sample.aggregateElement.sampleType","4","validation property","","","A boolean indicator describing whether or not this DefinedTerm was curated as the value of a property.","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.aggregateElement.oneOf[0].properties.sampleType.anyOf[2].items.properties.isCurated","8"
"Inference","sample.itemListElement","itemListElement","sample","2","validation property","","","Samples listed in the sample collection","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement","2"
"Inference","sample.itemListElement.url","url","sample.itemListElement","3","validation property","","","Link to sample","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement.oneOf[0].properties.url","4"
"Inference","sample.itemListElement.identifier","identifier","sample.itemListElement","3","validation property","","","an identifier for the sample","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement.oneOf[0].properties.identifier","4"
"Inference","sample.itemListElement.includedInDataCatalog","includedInDataCatalog","sample.itemListElement","3","validation property","","","Data or resource catalog where the sample is listed","","hits[Inference].validation.properties.sample.anyOf[4].items.properties.itemListElement.oneOf[0].properties.includedInDataCatalog","4"
